portname;prttype;prtsize;latitude;longitude;iso3_op;top_left_lat;top_left_long;top_right_lat;top_right_long;bot_right_lat;bot_right_long;bot_left_lat;bot_left_long
Bula;Sea;Very Small;-3,10408;130,50113;IDN;-2,60408;131,00113;-3,60408;131,00113;-2,60408;130,00113;-3,60408;130,00113
Poso;Sea;Small;-1,38242;120,75516;IDN;-0,88242;121,25516;-1,88242;121,25516;-0,88242;120,25516;-1,88242;120,25516
Virac;Sea;Small;13,58185;124,23399;PHL;14,08185;124,73399;13,08185;124,73399;14,08185;123,73399;13,08185;123,73399
Chiang Saen;River;Unknown;20,26754;100,08984;THA;20,76754;100,58984;19,76754;100,58984;20,76754;99,58984;19,76754;99,58984
Hue;Sea;Unknown;16,49739;107,58781;VNM;16,99739;108,08781;15,99739;108,08781;16,99739;107,08781;15,99739;107,08781
Aparri;Sea;Small;18,36124;121,62959;PHL;18,86124;122,12959;17,86124;122,12959;18,86124;121,12959;17,86124;121,12959
Masbate;Sea;Small;12,36842;123,61672;PHL;12,86842;124,11672;11,86842;124,11672;12,86842;123,11672;11,86842;123,11672
Pattani;Sea;Unknown;6,89974;101,25569;THA;7,39974;101,75569;6,39974;101,75569;7,39974;100,75569;6,39974;100,75569
Romblon;Sea;Small;12,57774;122,26921;PHL;13,07774;122,76921;12,07774;122,76921;13,07774;121,76921;12,07774;121,76921
Kantang;Sea;Unknown;7,41069;99,50939;THA;7,91069;100,00939;6,91069;100,00939;7,91069;99,00939;6,91069;99,00939
Kota Kinabalu;Sea;Unknown;5,99128;116,07988;MYS;6,49128;116,57988;5,49128;116,57988;6,49128;115,57988;5,49128;115,57988
Hondagua;Sea;Unknown;13,94495;122,24133;PHL;14,44495;122,74133;13,44495;122,74133;14,44495;121,74133;13,44495;121,74133
Puerto Princesa;Sea;Small;9,74241;118,72848;PHL;10,24241;119,22848;9,24241;119,22848;10,24241;118,22848;9,24241;118,22848
Ozamis;Sea;Small;8,14078;123,84535;PHL;8,64078;124,34535;7,64078;124,34535;8,64078;123,34535;7,64078;123,34535
Johor Bahru;Sea;Unknown;1,45978;103,73605;MYS;1,95978;104,23605;0,95978;104,23605;1,95978;103,23605;0,95978;103,23605
Kuching;Sea;Unknown;1,55509;110,36798;MYS;2,05509;110,86798;1,05509;110,86798;2,05509;109,86798;1,05509;109,86798
Limbang;Sea;Unknown;4,75264;115,00875;MYS;5,25264;115,50875;4,25264;115,50875;5,25264;114,50875;4,25264;114,50875
Tandoc;Sea;Unknown;14,05485;123,29906;PHL;14,55485;123,79906;13,55485;123,79906;14,55485;122,79906;13,55485;122,79906
Calapan;Sea;Small;13,42605;121,19532;PHL;13,92605;121,69532;12,92605;121,69532;13,92605;120,69532;12,92605;120,69532
Padang;Sea;Medium;-1,00017;100,37084;IDN;-0,50017;100,87084;-1,50017;100,87084;-0,50017;99,87084;-1,50017;99,87084
Sinabang;Sea;Small;2,47859;96,38228;IDN;2,97859;96,88228;1,97859;96,88228;2,97859;95,88228;1,97859;95,88228
Banyuwangi;Sea;Small;-8,20596;114,38447;IDN;-7,70596;114,88447;-8,70596;114,88447;-7,70596;113,88447;-8,70596;113,88447
Semarang;Sea;Medium;-6,9467;110,42515;IDN;-6,4467;110,92515;-7,4467;110,92515;-6,4467;109,92515;-7,4467;109,92515
Ambon;Sea;Small;-3,6941;128,17627;IDN;-3,1941;128,67627;-4,1941;128,67627;-3,1941;127,67627;-4,1941;127,67627
Kendari;Sea;Small;-3,97245;122,57729;IDN;-3,47245;123,07729;-4,47245;123,07729;-3,47245;122,07729;-4,47245;122,07729
Manado;Sea;Small;1,49881;124,84053;IDN;1,99881;125,34053;0,99881;125,34053;1,99881;124,34053;0,99881;124,34053
Sangkulirang;Sea;Small;0,98721;117,98446;IDN;1,48721;118,48446;0,48721;118,48446;1,48721;117,48446;0,48721;117,48446
Bang Saphan;Sea;Unknown;11,20683;99,57833;THA;11,70683;100,07833;10,70683;100,07833;11,70683;99,07833;10,70683;99,07833
Brookes Point;Sea;Small;8,77353;117,82946;PHL;9,27353;118,32946;8,27353;118,32946;9,27353;117,32946;8,27353;117,32946
Ranong;Sea;Unknown;9,98089;98,60073;THA;10,48089;99,10073;9,48089;99,10073;10,48089;98,10073;9,48089;98,10073
Cua Lo;Sea;Unknown;18,82878;105,71075;VNM;19,32878;106,21075;18,32878;106,21075;19,32878;105,21075;18,32878;105,21075
Allen;Sea;Very Small;12,50456;124,28435;PHL;13,00456;124,78435;12,00456;124,78435;13,00456;123,78435;12,00456;123,78435
Tabuelan;Sea;Very Small;10,83157;123,87037;PHL;11,33157;124,37037;10,33157;124,37037;11,33157;123,37037;10,33157;123,37037
Buatan;River;Very Small;0,74603;101,81754;IDN;1,24603;102,31754;0,24603;102,31754;1,24603;101,31754;0,24603;101,31754
Nasugbu;Sea;Unknown;14,07678;120,62445;PHL;14,57678;121,12445;13,57678;121,12445;14,57678;120,12445;13,57678;120,12445
Port Dickson;Sea;Unknown;2,52218;101,80015;MYS;3,02218;102,30015;2,02218;102,30015;3,02218;101,30015;2,02218;101,30015
Tawau;Sea;Unknown;4,24386;117,88075;MYS;4,74386;118,38075;3,74386;118,38075;4,74386;117,38075;3,74386;117,38075
Gingoog;Sea;Unknown;8,82968;125,09984;PHL;9,32968;125,59984;8,32968;125,59984;9,32968;124,59984;8,32968;124,59984
Lumut;Sea;Unknown;4,23552;100,60863;MYS;4,73552;101,10863;3,73552;101,10863;4,73552;100,10863;3,73552;100,10863
Dungun;Sea;Unknown;4,77737;103,42488;MYS;5,27737;103,92488;4,27737;103,92488;5,27737;102,92488;4,27737;102,92488
Weston;Sea;Unknown;5,21733;115,60037;MYS;5,71733;116,10037;4,71733;116,10037;5,71733;115,10037;4,71733;115,10037
Sorong;Sea;Small;-0,87802;131,24612;IDN;-0,37802;131,74612;-1,37802;131,74612;-0,37802;130,74612;-1,37802;130,74612
Labuha;Sea;Small;-0,62884;127,47934;IDN;-0,12884;127,97934;-1,12884;127,97934;-0,12884;126,97934;-1,12884;126,97934
Surabaya;Sea;Medium;-7,20203;112,73319;IDN;-6,70203;113,23319;-7,70203;113,23319;-6,70203;112,23319;-7,70203;112,23319
Gresik;Sea;Medium;-7,14449;112,65108;IDN;-6,64449;113,15108;-7,64449;113,15108;-6,64449;112,15108;-7,64449;112,15108
Maumere;Sea;Small;-8,61517;122,2189;IDN;-8,11517;122,7189;-9,11517;122,7189;-8,11517;121,7189;-9,11517;121,7189
Manokwari;Sea;Small;-0,86727;134,07484;IDN;-0,36727;134,57484;-1,36727;134,57484;-0,36727;133,57484;-1,36727;133,57484
Tarakan;Sea;Small;3,28409;117,59558;IDN;3,78409;118,09558;2,78409;118,09558;3,78409;117,09558;2,78409;117,09558
Pontianak;Sea;Medium;-0,01847;109,33552;IDN;0,48153;109,83552;-0,51847;109,83552;0,48153;108,83552;-0,51847;108,83552
Basco;Sea;Unknown;20,44783;121,96719;PHL;20,94783;122,46719;19,94783;122,46719;20,94783;121,46719;19,94783;121,46719
Jagna;Sea;Unknown;9,64944;124,36651;PHL;10,14944;124,86651;9,14944;124,86651;10,14944;123,86651;9,14944;123,86651
Calbayog;Sea;Small;12,066;124,5922;PHL;12,566;125,0922;11,566;125,0922;12,566;124,0922;11,566;124,0922
Cam Pha;Sea;Small;21,00587;107,3483;VNM;21,50587;107,8483;20,50587;107,8483;21,50587;106,8483;20,50587;106,8483
Sorsogon;Sea;Small;12,96664;124,00406;PHL;13,46664;124,50406;12,46664;124,50406;13,46664;123,50406;12,46664;123,50406
Tanjong Penjuru;Sea;Unknown;1,30155;103,74224;SGP;1,80155;104,24224;0,80155;104,24224;1,80155;103,24224;0,80155;103,24224
Tanjung Pandan;Sea;Small;-2,74522;107,63021;IDN;-2,24522;108,13021;-3,24522;108,13021;-2,24522;107,13021;-3,24522;107,13021
Bataan;Sea;Small;14,43703;120,50023;PHL;14,93703;121,00023;13,93703;121,00023;14,93703;120,00023;13,93703;120,00023
Malahayati;Sea;Very Small;5,59625;95,52619;IDN;6,09625;96,02619;5,09625;96,02619;6,09625;95,02619;5,09625;95,02619
Lhokseumawe;Sea;Small;5,16986;97,14627;IDN;5,66986;97,64627;4,66986;97,64627;5,66986;96,64627;4,66986;96,64627
Gilimanuk;Sea;Very Small;-8,16133;114,43743;IDN;-7,66133;114,93743;-8,66133;114,93743;-7,66133;113,93743;-8,66133;113,93743
Padangbai;Sea;Unknown;-8,53394;115,5086;IDN;-8,03394;116,0086;-9,03394;116,0086;-8,03394;115,0086;-9,03394;115,0086
Naluuyan;Sea;Small;10,77581;122,70814;PHL;11,27581;123,20814;10,27581;123,20814;11,27581;122,20814;10,27581;122,20814
Kalamansig;Sea;Small;6,55228;124,05041;PHL;7,05228;124,55041;6,05228;124,55041;7,05228;123,55041;6,05228;123,55041
Laem Chabang;Sea;Large;13,06917;100,90117;THA;13,56917;101,40117;12,56917;101,40117;13,56917;100,40117;12,56917;100,40117
Pladju;River;Small;-2,98837;104,83946;IDN;-2,48837;105,33946;-3,48837;105,33946;-2,48837;104,33946;-3,48837;104,33946
Gunung Sitoli;Unknown;Very Small;1,3059;97,60955;IDN;1,8059;98,10955;0,8059;98,10955;1,8059;97,10955;0,8059;97,10955
Celukan Bawang;Sea;Small;-8,18848;114,83218;IDN;-7,68848;115,33218;-8,68848;115,33218;-7,68848;114,33218;-8,68848;114,33218
Cagayan De Oro;Sea;Small;8,49515;124,66258;PHL;8,99515;125,16258;7,99515;125,16258;8,99515;124,16258;7,99515;124,16258
Koh Si Chang;Sea;Small;13,16067;100,80992;THA;13,66067;101,30992;12,66067;101,30992;13,66067;100,30992;12,66067;100,30992
Catagbacan;Sea;Very Small;9,85146;123,82338;PHL;10,35146;124,32338;9,35146;124,32338;10,35146;123,32338;9,35146;123,32338
Kuala Tanjung;Unknown;Small;3,35693;99,45485;IDN;3,85693;99,95485;2,85693;99,95485;3,85693;98,95485;2,85693;98,95485
Tanjung Balai;River;Small;2,97848;99,80361;IDN;3,47848;100,30361;2,47848;100,30361;3,47848;99,30361;2,47848;99,30361
Legazpi;Sea;Small;13,14607;123,75612;PHL;13,64607;124,25612;12,64607;124,25612;13,64607;123,25612;12,64607;123,25612
Hanoi;River;Unknown;21,02892;105,86167;VNM;21,52892;106,36167;20,52892;106,36167;21,52892;105,36167;20,52892;105,36167
Tandjung Uban;Sea;Small;1,06171;104,21933;IDN;1,56171;104,71933;0,56171;104,71933;1,56171;103,71933;0,56171;103,71933
Pangkal Balam;Sea;Small;-2,08497;106,14817;IDN;-1,58497;106,64817;-2,58497;106,64817;-1,58497;105,64817;-2,58497;105,64817
Pare Pare;Sea;Small;-4,00265;119,62174;IDN;-3,50265;120,12174;-4,50265;120,12174;-3,50265;119,12174;-4,50265;119,12174
Haiphong;River;Small;20,86793;106,6901;VNM;21,36793;107,1901;20,36793;107,1901;21,36793;106,1901;20,36793;106,1901
Tanjong Mani;Sea;Unknown;2,12392;111,31941;MYS;2,62392;111,81941;1,62392;111,81941;2,62392;110,81941;1,62392;110,81941
Samui;Sea;Unknown;9,53837;99,93449;THA;10,03837;100,43449;9,03837;100,43449;10,03837;99,43449;9,03837;99,43449
Vung Ang;Sea;Unknown;18,11108;106,40943;VNM;18,61108;106,90943;17,61108;106,90943;18,61108;105,90943;17,61108;105,90943
Duong Dong;Sea;Very Small;10,22466;103,95501;VNM;10,72466;104,45501;9,72466;104,45501;10,72466;103,45501;9,72466;103,45501
Sejingkat;Sea;Unknown;1,57744;110,41266;MYS;2,07744;110,91266;1,07744;110,91266;2,07744;109,91266;1,07744;109,91266
Kuala Beukah;Unknown;Very Small;4,88476;97,90409;IDN;5,38476;98,40409;4,38476;98,40409;5,38476;97,40409;4,38476;97,40409
Pangkalang Susu;Sea;Small;4,12408;98,21174;IDN;4,62408;98,71174;3,62408;98,71174;4,62408;97,71174;3,62408;97,71174
Tanjung Sekong;Sea;Small;-5,92286;105,99422;IDN;-5,42286;106,49422;-6,42286;106,49422;-5,42286;105,49422;-6,42286;105,49422
Damaguit;Sea;Very Small;11,59597;122,48233;PHL;12,09597;122,98233;11,09597;122,98233;12,09597;121,98233;11,09597;121,98233
Qui Nhon;Sea;Very Small;13,77826;109,24626;VNM;14,27826;109,74626;13,27826;109,74626;14,27826;108,74626;13,27826;108,74626
Jurong;Sea;Unknown;1,30635;103,71967;SGP;1,80635;104,21967;0,80635;104,21967;1,80635;103,21967;0,80635;103,21967
Pakan Baru;River;Small;0,54778;101,46473;IDN;1,04778;101,96473;0,04778;101,96473;1,04778;100,96473;0,04778;100,96473
Sungai Pakning;Sea;Small;1,34437;102,15743;IDN;1,84437;102,65743;0,84437;102,65743;1,84437;101,65743;0,84437;101,65743
Pandjang;Sea;Small;-5,47214;105,31803;IDN;-4,97214;105,81803;-5,97214;105,81803;-4,97214;104,81803;-5,97214;104,81803
Sriracha;Sea;Small;13,17344;100,92633;THA;13,67344;101,42633;12,67344;101,42633;13,67344;100,42633;12,67344;100,42633
Tubigon;Sea;Unknown;9,95219;123,96156;PHL;10,45219;124,46156;9,45219;124,46156;10,45219;123,46156;9,45219;123,46156
Bacolod;Sea;Unknown;10,67303;122,94762;PHL;11,17303;123,44762;10,17303;123,44762;11,17303;122,44762;10,17303;122,44762
Telok Anson;River;Unknown;4,02217;101,01926;MYS;4,52217;101,51926;3,52217;101,51926;4,52217;100,51926;3,52217;100,51926
Subic Bay;Sea;Medium;14,8231;120,29334;PHL;15,3231;120,79334;14,3231;120,79334;15,3231;119,79334;14,3231;119,79334
Pio V, Corpuz;Sea;Very Small;11,88241;124,05125;PHL;12,38241;124,55125;11,38241;124,55125;12,38241;123,55125;11,38241;123,55125
Da Nang;Sea;Medium;16,1204;108,21733;VNM;16,6204;108,71733;15,6204;108,71733;16,6204;107,71733;15,6204;107,71733
Kemaman;Sea;Unknown;4,25376;103,4594;MYS;4,75376;103,9594;3,75376;103,9594;4,75376;102,9594;3,75376;102,9594
Kunak;Sea;Unknown;4,68569;118,25122;MYS;5,18569;118,75122;4,18569;118,75122;5,18569;117,75122;4,18569;117,75122
Tanjong Salirong;Sea;Unknown;4,90119;114,98922;BRN;5,40119;115,48922;4,40119;115,48922;5,40119;114,48922;4,40119;114,48922
Kompongsom;Sea;Small;10,60654;103,52134;KHM;11,10654;104,02134;10,10654;104,02134;11,10654;103,02134;10,10654;103,02134
Penang;Sea;Unknown;5,36473;100,38934;MYS;5,86473;100,88934;4,86473;100,88934;5,86473;99,88934;4,86473;99,88934
Malatapay;Sea;Very Small;9,12224;123,21357;PHL;9,62224;123,71357;8,62224;123,71357;9,62224;122,71357;8,62224;122,71357
Nghe Tinh;Sea;Small;18,65489;105,70857;VNM;19,15489;106,20857;18,15489;106,20857;19,15489;105,20857;18,15489;105,20857
Sriracha;Sea;Unknown;13,12749;100,90098;THA;13,62749;101,40098;12,62749;101,40098;13,62749;100,40098;12,62749;100,40098
Jambongan;Sea;Unknown;1,47067;103,78372;MYS;1,97067;104,28372;0,97067;104,28372;1,97067;103,28372;0,97067;103,28372
Prachuap;Sea;Unknown;11,80817;99,79894;THA;12,30817;100,29894;11,30817;100,29894;12,30817;99,29894;11,30817;99,29894
Quang Ninh;Sea;Small;20,97234;107,05224;VNM;21,47234;107,55224;20,47234;107,55224;21,47234;106,55224;20,47234;106,55224
Saigon;River;Medium;10,75853;106,7181;VNM;11,25853;107,2181;10,25853;107,2181;11,25853;106,2181;10,25853;106,2181
Cebu;Sea;Medium;10,30435;123,91541;PHL;10,80435;124,41541;9,80435;124,41541;10,80435;123,41541;9,80435;123,41541
Tanjung Balai Karimun;Sea;Small;-0,81315;103,4596;IDN;-0,31315;103,9596;-1,31315;103,9596;-0,31315;102,9596;-1,31315;102,9596
Quang Ngai;Sea;Unknown;15,13359;108,79072;VNM;15,63359;109,29072;14,63359;109,29072;15,63359;108,29072;14,63359;108,29072
Tabangoa;Sea;Unknown;13,76837;121,03275;PHL;14,26837;121,53275;13,26837;121,53275;14,26837;120,53275;13,26837;120,53275
Labuan Hadji;Sea;Unknown;5,27289;115,23321;MYS;5,77289;115,73321;4,77289;115,73321;5,77289;114,73321;4,77289;114,73321
Malacca;Sea;Unknown;2,1909;102,25423;MYS;2,6909;102,75423;1,6909;102,75423;2,6909;101,75423;1,6909;101,75423
Tjilatjap;Sea;Small;-7,68807;109,08483;IDN;-7,18807;109,58483;-8,18807;109,58483;-7,18807;108,58483;-8,18807;108,58483
Red Beach;Sea;Unknown;16,09529;108,23367;VNM;16,59529;108,73367;15,59529;108,73367;16,59529;107,73367;15,59529;107,73367
Tagoloan Mis, Or;Sea;Unknown;8,53392;124,74165;PHL;9,03392;125,24165;8,03392;125,24165;9,03392;124,24165;8,03392;124,24165
Endau;Sea;Unknown;2,65542;103,62351;MYS;3,15542;104,12351;2,15542;104,12351;3,15542;103,12351;2,15542;103,12351
Sumenep;Sea;Small;1,36036;102,15853;IDN;1,86036;102,65853;0,86036;102,65853;1,86036;101,65853;0,86036;101,65853
Tanjong Kling;Sea;Unknown;2,15938;111,33789;MYS;2,65938;111,83789;1,65938;111,83789;2,65938;110,83789;1,65938;110,83789
Lumut;Sea;Unknown;4,67375;114,46374;BRN;5,17375;114,96374;4,17375;114,96374;5,17375;113,96374;4,17375;113,96374
Benoa;Sea;Very Small;-8,74329;115,20943;IDN;-8,24329;115,70943;-9,24329;115,70943;-8,24329;114,70943;-9,24329;114,70943
San Jose Carangian;Sea;Very Small;12,53328;124,48596;PHL;13,03328;124,98596;12,03328;124,98596;13,03328;123,98596;12,03328;123,98596
Sangatta;Sea;Very Small;0,5357;117,64344;IDN;1,0357;118,14344;0,0357;118,14344;1,0357;117,14344;0,0357;117,14344
Santa Fe;Sea;Very Small;11,16465;123,80562;PHL;11,66465;124,30562;10,66465;124,30562;11,66465;123,30562;10,66465;123,30562
Hagnaya;Sea;Very Small;11,09309;123,94481;PHL;11,59309;124,44481;10,59309;124,44481;11,59309;123,44481;10,59309;123,44481
Polambato;Sea;Very Small;11,06977;123,9966;PHL;11,56977;124,4966;10,56977;124,4966;11,56977;123,4966;10,56977;123,4966
Naval;Sea;Very Small;11,56037;124,39179;PHL;12,06037;124,89179;11,06037;124,89179;12,06037;123,89179;11,06037;123,89179
Bulan;Sea;Very Small;12,66474;123,87389;PHL;13,16474;124,37389;12,16474;124,37389;13,16474;123,37389;12,16474;123,37389
Guiuan;Sea;Small;11,03074;125,72299;PHL;11,53074;126,22299;10,53074;126,22299;11,53074;125,22299;10,53074;125,22299
Chiang Khong;River;Unknown;20,27398;100,40645;LAO;20,77398;100,90645;19,77398;100,90645;20,77398;99,90645;19,77398;99,90645
Yangon;River;Medium;16,76688;96,17397;MMR;17,26688;96,67397;16,26688;96,67397;17,26688;95,67397;16,26688;95,67397
Culasi;Sea;Small;11,60526;122,71019;PHL;12,10526;123,21019;11,10526;123,21019;12,10526;122,21019;11,10526;122,21019
Tacloban;Sea;Small;11,24829;125,00016;PHL;11,74829;125,50016;10,74829;125,50016;11,74829;124,50016;10,74829;124,50016
Ormoc;Sea;Small;11,00506;124,60674;PHL;11,50506;125,10674;10,50506;125,10674;11,50506;124,10674;10,50506;124,10674
Isabel;Sea;Small;10,89923;124,43367;PHL;11,39923;124,93367;10,39923;124,93367;11,39923;123,93367;10,39923;123,93367
Bantayan;Sea;Very Small;11,16643;123,71807;PHL;11,66643;124,21807;10,66643;124,21807;11,66643;123,21807;10,66643;123,21807
Sihanoukville;Sea;Small;10,64955;103,51771;KHM;11,14955;104,01771;10,14955;104,01771;11,14955;103,01771;10,14955;103,01771
Sabang;Sea;Small;5,88065;95,32269;IDN;6,38065;95,82269;5,38065;95,82269;6,38065;94,82269;5,38065;94,82269
Blang Lancang;Sea;Small;5,22203;97,09631;IDN;5,72203;97,59631;4,72203;97,59631;5,72203;96,59631;4,72203;96,59631
Kuala Langsa;Sea;Very Small;4,52416;98,02056;IDN;5,02416;98,52056;4,02416;98,52056;5,02416;97,52056;4,02416;97,52056
Bengkalis;Sea;Small;1,46622;102,10845;IDN;1,96622;102,60845;0,96622;102,60845;1,96622;101,60845;0,96622;101,60845
Tanjung Pinang;Sea;Small;0,92994;104,45376;IDN;1,42994;104,95376;0,42994;104,95376;1,42994;103,95376;0,42994;103,95376
Kidjang;Sea;Small;0,83743;104,60929;IDN;1,33743;105,10929;0,33743;105,10929;1,33743;104,10929;0,33743;104,10929
Dabo;Unknown;Small;-0,501;104,5657;IDN;-0,001;105,0657;-1,001;105,0657;-0,001;104,0657;-1,001;104,0657
Muntok;Sea;Small;-2,07444;105,17549;IDN;-1,57444;105,67549;-2,57444;105,67549;-1,57444;104,67549;-2,57444;104,67549
Semangka Bay;Sea;Small;-5,49955;104,62023;IDN;-4,99955;105,12023;-5,99955;105,12023;-4,99955;104,12023;-5,99955;104,12023
Sibolga;Sea;Small;1,7292;98,78523;IDN;2,2292;99,28523;1,2292;99,28523;2,2292;98,28523;1,2292;98,28523
Susoh;Unknown;Very Small;3,72073;96,81146;IDN;4,22073;97,31146;3,22073;97,31146;4,22073;96,31146;3,22073;96,31146
Meulaboh;Sea;Small;4,12711;96,12932;IDN;4,62711;96,62932;3,62711;96,62932;4,62711;95,62932;3,62711;95,62932
Cilacap;Sea;Medium;-7,74913;109,01491;IDN;-7,24913;109,51491;-8,24913;109,51491;-7,24913;108,51491;-8,24913;108,51491
Rembang;Sea;Small;-6,70073;111,3374;IDN;-6,20073;111,8374;-7,20073;111,8374;-6,20073;110,8374;-7,20073;110,8374
Kayangan;Sea;Unknown;-8,4861;116,67454;IDN;-7,9861;117,17454;-8,9861;117,17454;-7,9861;116,17454;-8,9861;116,17454
Biak;Unknown;Small;-1,25616;136,37692;IDN;-0,75616;136,87692;-1,75616;136,87692;-0,75616;135,87692;-1,75616;135,87692
Ternate;Sea;Small;0,78066;127,38809;IDN;1,28066;127,88809;0,28066;127,88809;1,28066;126,88809;0,28066;126,88809
Namlea;Sea;Small;-3,26645;127,08498;IDN;-2,76645;127,58498;-3,76645;127,58498;-2,76645;126,58498;-3,76645;126,58498
Malili;Sea;Small;-2,64254;121,07289;IDN;-2,14254;121,57289;-3,14254;121,57289;-2,14254;120,57289;-3,14254;120,57289
Tubang;Unknown;Very Small;-1,76144;125,09462;IDN;-1,26144;125,59462;-2,26144;125,59462;-1,26144;124,59462;-2,26144;124,59462
Samarinda;River;Small;-0,50507;117,15071;IDN;-0,00507;117,65071;-1,00507;117,65071;-0,00507;116,65071;-1,00507;116,65071
Sampit;Sea;Small;-2,5681;112,97806;IDN;-2,0681;113,47806;-3,0681;113,47806;-2,0681;112,47806;-3,0681;112,47806
